AGE (MA),LATITUDE FROM POLE,GLACIATED REGION,REFERENCE
168,0,-,Crowley (1988)
169,0,-,Crowley (1988)
170,0,-,Crowley (1988)
171,0,-,Crowley (1988)
172,0,-,Crowley (1988)
173,0,-,Crowley (1988)
174,0,-,Crowley (1988)
175,0,-,Crowley (1988)
176,0,-,Crowley (1988)
177,0,-,Crowley (1988)
178,0,-,Crowley (1988)
179,0,-,Crowley (1988)
180,0,-,Crowley (1988)
181,0,-,Crowley (1988)
182,0,-,Crowley (1988)
183,0,-,Crowley (1988)
184,0,-,Crowley (1988)
185,0,-,Crowley (1988)
186,0,-,Crowley (1988)
187,0,-,Crowley (1988)
188,0,-,Crowley (1988)
189,0,-,Crowley (1988)
190,0,-,Crowley (1988)
191,0,-,Crowley (1988)
192,0,-,Crowley (1988)
193,0,-,Crowley (1988)
194,0,-,Crowley (1988)
195,0,-,Crowley (1988)
196,0,-,Crowley (1988)
197,0,-,Crowley (1988)
198,0,-,Crowley (1988)
199,0,-,Crowley (1988)
200,0,-,Crowley (1988)
201,0,-,Crowley (1988)
202,0,-,Crowley (1988)
203,0,-,Crowley (1988)
204,0,-,Crowley (1988)
205,0,-,Crowley (1988)
206,0,-,Crowley (1988)
207,0,-,Crowley (1988)
208,0,-,Crowley (1988)
209,0,-,Crowley (1988)
210,0,-,Crowley (1988)
211,0,-,Crowley (1988)
212,0,-,Crowley (1988)
213,0,-,Crowley (1988)
214,0,-,Crowley (1988)
215,0,-,Crowley (1988)
216,0,-,Crowley (1988)
217,0,-,Crowley (1988)
218,0,-,Crowley (1988)
219,0,-,Crowley (1988)
220,0,-,Crowley (1988)
221,0,-,Crowley (1988)
222,0,-,Crowley (1988)
223,0,-,Crowley (1988)
224,0,-,Crowley (1988)
225,0,-,Crowley (1988)
226,0,-,Crowley (1988)
227,0,-,Crowley (1988)
228,0,-,Crowley (1988)
229,0,-,Crowley (1988)
230,0,-,Crowley (1988)
231,0,-,Crowley (1988)
232,0,-,Crowley (1988)
233,0,-,Crowley (1988)
234,0,-,Crowley (1988)
235,0,-,Crowley (1988)
236,0,-,Crowley (1988)
237,0,-,Crowley (1988)
238,0,-,Crowley (1988)
239,0,-,Crowley (1988)
240,0,-,Crowley (1988)
241,0,-,Crowley (1988)
242,0,-,Crowley (1988)
243,0,-,Crowley (1988)
244,0,-,Crowley (1988)
245,0,-,Crowley (1988)
246,0,-,Crowley (1988)
247,0,-,Crowley (1988)
248,0,-,Crowley (1988)
249,0,-,Crowley (1988)
250,0,-,Crowley (1988)
251,0,-,Crowley (1988)
252,0,-,Crowley (1988)
253,0,-,Crowley (1988)
254,0,-,Crowley (1988)
255,0,-,Crowley (1988)
256,0,-,Crowley (1988)
257,0,-,Crowley (1988)
258,0,-,Crowley (1988)
259,0,-,Crowley (1988)
260,10,,
261,10,,
262,10,,
263,10,,
264,10,,
265,10,,
266,10,,
267,10,,
268,10,,
269,10,,
270,10,,
271,10,,
272,10,,
273,10,,
274,10,,
275,10,,
276,10,,
277,15,,
278,20,,
279,20,,
280,20,,
281,20,,
282,20,,
283,20,,
284,20,,
285,20,,
286,20,,
287,20,,
288,20,,
289,20,,
290,20,,
291,20,,
292,20,,
293,20,,
294,25,,
295,30,,
296,35,,
297,40,,
298,45,,
299,50,,
300,50,,
301,50,,
302,50,,
303,50,,
304,50,,
305,50,,
306,50,,
307,50,,
308,50,,
309,50,,
310,40,,
311,40,,
312,40,,
313,40,,
314,40,,
315,40,,
316,40,,
317,40,,
318,40,,
319,40,,
320,40,,
321,40,,
322,40,,
323,40,,
324,40,,
325,40,,
326,40,,
327,40,,
328,40,,
329,40,,
330,40,,
331,40,,
332,35,,
333,30,,
334,25,,
335,20,,
336,15,,
337,10,,
338,5,,
339,0,,
340,0,,
341,0,,
342,0,,
343,0,,
344,0,,
345,0,,
346,0,,
347,0,,
348,0,,
349,0,,
350,0,,
351,0,,
352,0,,
353,0,,
354,0,,
355,0,,
356,0,,
357,0,,
358,10,,
359,20,,
360,20,,
361,10,,
362,10,,
363,10,,
364,10,,
365,10,,
366,0,,
367,0,,
368,0,,
369,0,,
370,0,,
371,0,,
372,0,,
373,0,,
374,0,,
375,0,,
376,0,,
377,0,,
378,0,,
379,0,,
380,0,,
381,0,,
382,0,,
383,0,,
384,0,,
385,0,,
386,0,,
387,0,,
388,0,,
389,0,,
390,0,,
391,0,,
392,0,,
393,0,,
394,0,,
395,0,,
396,0,,
397,0,,
398,0,,
399,0,,
400,0,,
401,0,,
402,0,,
403,0,,
404,0,,
405,0,,
406,0,,
407,0,,
408,0,,
409,0,,
410,0,,
411,0,,
412,0,,
413,0,,
414,0,,
415,0,,
416,0,,
417,0,,
418,0,,
419,0,,
420,0,,
421,0,,
422,0,,
423,0,,
424,0,,
425,0,,
426,0,,
427,0,,
428,0,,
429,0,,
430,0,,
431,0,,
432,0,,
433,0,,
434,0,,
435,0,,
436,0,,
437,0,,
438,0,,
439,0,,
440,10,,
441,20,,
442,30,,
443,40,,
444,50,,
445,50,,
446,40,,
447,30,,
448,30,,
449,30,,
450,30,,
451,30,,
452,30,,
453,25,,
454,20,,
455,15,,
456,10,,
457,10,,
458,10,,
459,0,,
460,0,,
461,0,,
462,0,,
463,0,,
464,0,,
465,0,,
466,0,,
467,0,,
468,0,,
469,0,,
470,0,,
471,0,,
472,0,,
473,0,,
474,0,,
475,0,,
476,0,,
477,0,,
478,0,,
479,0,,
480,0,,
481,0,,
482,0,,
483,0,,
484,0,,
485,0,,
486,0,,
487,0,,
488,0,,
489,0,,
490,0,,
491,0,,
492,0,,
493,0,,
494,0,,
495,0,,
496,0,,
497,0,,
498,0,,
499,0,,
500,0,,
501,0,,
502,0,,
503,0,,
504,0,,
505,0,,
506,0,,
507,0,,
508,0,,
509,0,,
510,0,,
511,0,,
512,0,,
513,0,,
514,0,,
515,0,,
516,0,,
517,0,,
518,0,,
519,0,,
520,0,,
521,0,,
522,0,,
523,0,,
524,0,,
525,0,,
