Ids,areas,begins,names
GPlates-afb8ff2d-524d-433c-a2fd-be50f0a9037f,629146.1214247211,30.0,Afar
GPlates-95b41e31-cd61-4a59-b670-1e4e82793293,819627.9132852162,62.0,NAIP
GPlates-b0567b22-d3ca-40ee-ab31-145fe0634193,912494.3992064818,95.0,HALIP
GPlates-2c3056f5-ebe8-40f5-ad54-a7e07aa195aa,25173.503058112983,95.0,HALIP
GPlates-ee53a1df-43ec-4f04-947d-bacc8a04e2cd,161644.17472971813,95.0,HALIP
GPlates-d16078d6-b567-479d-a216-2716bc4bdc54,452326.30220360286,66.0,Seychelles
GPlates-b1cea06c-7138-48c4-9789-b8ee067c5114,2048965.560805818,95.0,HALIP
GPlates-4742db4d-9b15-40fc-9187-963b77183a97,1565147.0513927343,135.0,Parana-Etendeka
GPlates-bb2a28a1-9757-4471-87ef-036f730b979d,559812.4525529075,135.0,Parana-Etendeka
GPlates-73bc1efa-06f3-479f-9e1d-5f5dc8f90853,84242.77253677786,135.0,Parana-Etendeka
GPlates-40dfa4f3-ab7b-4b73-a569-63444a50c91c,572.8868837874462,94.0,Caribbean-Colombian
GPlates-307b6d50-6012-44c3-9db0-4f2742427332,5523.449858506435,94.0,Caribbean-Colombian
GPlates-0d3d0db9-a5bb-41cb-b09c-b52851c0aba1,2557632.237375722,720.0,Franklin
GPlates-8c0b96a4-2f59-445b-b36b-d780d7888f2f,67478.19743762129,720.0,Franklin
GPlates-ab012748-6808-456b-9a9b-8bc8133513d0,360754.6230285251,95.0,HALIP
GPlates-c914b078-8867-48cb-bbb4-5f1321793efc,49950.279449796006,95.0,HALIP
GPlates-c200f81e-dbf4-478c-bef4-58e61a555214,631884.3935135853,780.0,Gunbarrel
GPlates-0d5e71f9-fef4-47ac-81c9-c450d37b53a9,203060.39114143478,780.0,Gunbarrel
GPlates-9df46b4a-325c-447f-a1a8-4ec548bbb047,376162.72582604166,755.0,Mundine Well
GPlates-a42e2766-343a-42db-aeb6-8b8957cb945f,301767.1590675387,724.0,Irkutsk
GPlates-b1a46958-09f7-4477-9e73-702b0ab4c346,465860.00368324196,1109.0,Keweenawan
GPlates-288fa66f-640d-4042-9485-938235a57695,1083395.997574557,1090.0,SW Laurentia
GPlates-9f3763dc-c267-4210-a3dc-d8a2f93a1ae9,1555858.82751892,1070.0,Warakurna
GPlates-8ffaa5a2-0e8a-4158-b0da-5f271f709bc4,1999962.7447744831,1109.0,Umkondo
GPlates-292cf777-2c10-48af-a5c5-005cab7d17e7,625520.726789416,827.0,Willouran-Gairdner
GPlates-43225a71-86c0-42fc-b853-3eca01fd52af,338967.18064113444,920.0,Gangil-Mayumbia
GPlates-67cb3108-cc49-4637-a46f-f72aeb400d08,2097057.5356551956,821.0,SWCUC
GPlates-8de6ec75-d613-4ae1-a46c-e35a807451ae,444394.2868268717,925.0,Dashigou
GPlates-6a5a672a-28f9-467b-ad29-c68a92bd6807,56737.24505405718,925.0,Dashigou
GPlates-8ed5ac23-341f-4743-ab08-9818fac2a865,2887736.4484744314,1267.0,Mackenzie
GPlates-3e15362d-f5b0-493b-85c2-2182215f109a,707096.7417687136,1210.0,Marnda Moorn
GPlates-ec4c25ba-0b66-4529-a6ef-ddfb1d370f2c,309843.4190705498,1141.0,Abitibi
GPlates-834742c3-4302-4211-885b-e8638c188f35,180174.11899252018,1235.0,Sudbury
GPlates-57a1f0bf-fa08-4fe8-b932-ae24627d7386,263828.78036499565,1255.0,CSDG
GPlates-2ca762e4-a702-470a-a256-8be974114085,60268.22772149511,94.0,Caribbean-Colombian
GPlates-d4e106a1-9d45-4325-9f1d-4c276f92b6d9,106723.40242706517,94.0,Caribbean-Colombian
