Ids,areas,begins,names
GPlates-629bd45f-5dd3-4955-ba48-6667ad45efae,701935.0622115122,259.0,Emeishan
GPlates-9353982e-f745-4308-b4e6-8a612d4c0f91,1143851.4161610897,374.0,Vilyui
GPlates-7a8d76ab-c25c-47a9-b5b4-927e88f552ec,3539544.0989817013,511.0,Kalkarindji
GPlates-d893be0f-b33b-48ff-84c0-c763cbca826d,420369.1684379386,360.0,Magdalen
GPlates-3ace6a16-0678-4dd3-b238-79d0bcec3391,5916156.200982321,380.0,Kola-Dnieper
GPlates-68bd4033-8f25-43cb-8c66-c76ddd528199,180759.2575263077,535.0,Wichita
GPlates-48c8b4ec-eea6-47de-8de2-b950f3d79bf0,154881.1325413733,290.0,Tarim
GPlates-63c6ee24-c6e1-4a25-89ec-6909fd5f07d7,159518.76075162907,580.0,CIMP - A
GPlates-6a351bab-3351-4843-9633-d0de82890614,83892.13895485706,615.0,CIMP - B
GPlates-119ee641-5e01-44b0-b5da-4b56058325a5,8952.205740010619,580.0,CIMP - A
GPlates-1f071dfc-7bc3-4126-9917-4de6107f12fe,14511.174416805288,615.0,CIMP - B
GPlates-b4a37927-cbef-4de4-8551-c304025406ba,59625.68764983788,615.0,CIMP - B
GPlates-13370390-a642-46cb-9528-76619d8de8a6,14158.748464236753,580.0,CIMP - A
GPlates-77b4f93c-e33a-49fd-a751-032fb4b36ffd,4358108.26909769,201.0,CAMP
GPlates-852e0a75-a0bb-48aa-a0fc-634e7b63e7c0,5451658.061604785,201.0,CAMP
GPlates-b30a0dd3-4642-4048-8922-d9a702a011d4,1361571.5348767359,201.0,CAMP
GPlates-b931af97-2fe7-44a1-a4e2-2334e3df19b5,218693.75134287056,201.0,CAMP
GPlates-70911c1c-5839-44a3-96e0-6cab22688f97,13927.30115539356,201.0,CAMP
GPlates-d91af21f-762b-4415-ac64-66aeebab99dc,3186168.306773054,183.0,Karoo
GPlates-f289613d-ce84-4af5-bda0-cdfad7552fc1,622679.4587238855,90.0,Madagascar
GPlates-20ec7c93-284e-4e0b-a77d-5b75e6948c0c,29782.932475036978,140.0,Trap
GPlates-9f2456bf-bd0b-49b7-a4da-eec66771608d,91886.68784476265,183.0,Ferrar
GPlates-ce0f9a45-9857-4cb2-8447-3d9c01fd6798,63059.44880385186,183.0,Ferrar
GPlates-ab070542-b899-478c-8692-6b346284dbc6,24719.081707860834,183.0,Ferrar
GPlates-2faaef9f-b595-4fe4-bd77-59218360813a,674508.6083101439,16.0,Columbia River
GPlates-eefa00dd-6b8c-4a17-8035-b4d0529e23b6,825435.3210285687,66.0,Deccan
GPlates-13da77cf-463d-4c8b-b3fe-1116750b4c51,252684.46902721847,62.0,NAIP
GPlates-9e0f3ff0-a6a2-4cab-a392-189dd1dffe56,3462143.1907788184,252.0,Siberia
GPlates-9762e67d-9e02-43df-b08b-b4f4082cd993,198337.33355456838,290.0,Tarim
GPlates-5111a9c4-b642-44e8-b64b-a61d244e48b6,654692.8683266379,131.0,EQUAMP
GPlates-d2d504d2-5b8a-452b-b092-b303a854a16b,66182.38868568037,283.0,Qiangtang
GPlates-5fe8b59e-deea-4f35-a288-c331d9f8f533,44364.69316097908,283.0,Panjal
GPlates-114e187a-03a4-4bb3-ac30-67f379cc102b,30608.550310183,94.0,Caribbean-Colombian
GPlates-726ad7ff-d918-47c4-ad18-3b098def967a,8757.87068121878,94.0,Caribbean-Colombian
GPlates-7565c022-c7ae-4236-b29f-5f42290eaa79,5930.096575126086,94.0,Caribbean-Colombian
GPlates-89790bfc-ec32-4d39-83fb-49831e4be873,245810.501884569,94.0,Caribbean-Colombian
GPlates-cdef5dc9-89a6-45eb-8c9e-1c3ffd1d079a,4952.425110632854,94.0,Caribbean-Colombian
GPlates-bd281a54-d983-4e18-9b9f-4d8f4304990c,46418.23357432163,94.0,Caribbean-Colombian
GPlates-44084107-b8cf-4295-b2c9-e74bbc662106,56561.87755027744,94.0,Caribbean-Colombian
GPlates-5653ba86-2607-4f54-ad4f-a1b8c3df9f2e,134153.90939192814,94.0,Caribbean-Colombian
GPlates-e5147cc9-bd55-4a7e-b4a1-b6557f3068c3,615428.1759786925,160.0,NW Australia Margin
GPlates-e056d5de-006d-4514-9a82-79e611422c4f,21484.788847743628,135.0,Parana-Etendeka
GPlates-aba800de-e2d6-421a-96e6-037de8ee68e0,866220.6333791991,135.0,Parana-Etendeka
GPlates-5c3fbbba-2d66-4f30-8849-604ba7e07742,31494.78930102744,132.0,Bunbury
GPlates-a43ee634-8b92-4176-a74a-fc5a0c62e588,104865.78835663265,132.0,Comei
GPlates-42965d58-1a3e-459e-8b4d-12f3af7301dd,18260.431574583752,450.0,Suordakh
GPlates-20a22f9e-c50a-400b-9b16-0416be7d65b8,1404937.507347867,30.0,Afar
