age_Ma,ice_extent,total_suture,within_10_suture,within_15_suture,within_20_suture,greater_10_suture,greater_15_suture,greater_20_suture,greater_40_suture,continental_arc_Cao2017
0,50,29114.370081264606,10233.313180186242,11972.730314740127,13674.23089590366,18881.056901078366,17141.63976652448,15440.139185360946,3689.227180334098,14000
5,30,28061.877613432545,8818.200266815418,10553.927373637125,12729.422073453137,19243.67734661713,17507.95023979542,15332.455539979408,3616.4767458241654,14000
10,30,25682.233038524922,7084.341401871735,9184.92483963025,10615.484957418765,18597.89163665319,16497.308198894672,15066.748081106158,3356.2417170882145,14000
15,20,21101.266940388694,5765.594027003808,8349.399316524052,9352.259489972768,15335.672913384886,12751.867623864642,11749.007450415926,3129.2138438052507,14000
20,20,19212.111487563736,5649.292565379063,6928.801253519377,7516.420682495159,13562.818922184673,12283.310234044358,11695.690805068578,3037.6222691695575,14000
25,20,8294.10411330698,1789.4126316480144,2386.790531846964,2941.230725193322,6504.691481658965,5907.3135814600155,5352.873388113658,592.2597816125385,16500
30,30,11580.643142871084,1665.8590985693174,2316.9424713461913,4204.852977493061,9914.784044301767,9263.700671524894,7375.790165378023,1364.6749232722736,16500
35,10,15858.726133913005,1522.6736943952028,2224.961823973089,4593.572905591414,14336.052439517804,13633.764309939917,11265.153228321591,2779.121134212683,16500
40,0,18819.810621453173,2573.099131728627,5817.096013418583,7971.6551068548815,16246.711489724545,13002.714608034588,10848.155514598291,2514.374659138702,23600
45,0,15281.969145477711,2876.4132354281137,6653.554138650083,8574.018211952634,12405.555910049598,8628.415006827629,6707.950933525077,1608.3619225665898,23600
50,0,16585.70240609353,6330.563481162227,9079.231749697554,9867.794183392243,10255.138924931303,7506.470656395975,6717.908222701286,1622.6059910857105,24200
55,0,8986.257818002114,4870.759846369964,5922.980383131227,7158.965114338283,4115.4979716321495,3063.2774348708863,1827.2927036638312,0.0,24200
60,0,9000.089832004287,4930.029781671419,5920.485303224814,7159.973974441242,4070.060050332868,3079.604528779473,1840.1158575630452,0.0,20200
65,0,5447.916681431005,120.32975289952297,1424.5843356634296,2855.7723797072204,5327.586928531482,4023.332345767575,2592.1443017237843,0.0,31700
70,0,4965.147650910392,0.0,483.39843886857983,1574.6314521129093,4965.147650910392,4481.749212041813,3390.516198797483,802.804746514588,31700
75,0,7329.0926481560255,1468.8166281901108,2208.5777321862024,4231.905478820917,5860.276019965915,5120.514915969823,3097.1871693351086,832.2878721532738,31700
80,0,11366.031181690752,1575.2244097241378,2530.425152996053,4340.973765680195,9790.806771966614,8835.6060286947,7025.057416010557,2426.2494836648843,35200
85,0,10537.247056627932,1633.4692503644853,2743.7318198017306,4252.998065042611,8903.777806263446,7793.515236826201,6284.24899158532,2455.823904273002,35200
90,0,13758.395649777136,1717.4453083940134,2951.2520502077546,4264.860462886878,12040.950341383123,10807.143599569381,9493.535186890258,5665.11009957742,35200
95,0,5674.502471339768,0.0,0.0,0.0,5674.502471339768,5674.502471339768,5674.502471339768,5674.502471339768,35200
100,0,5759.873757651401,0.0,0.0,0.0,5759.873757651401,5759.873757651401,5759.873757651401,5759.873757651401,37500
105,0,3206.0638114828275,0.0,0.0,0.0,3206.0638114828275,3206.0638114828275,3206.0638114828275,3206.0638114828275,37500
110,0,4124.9344133603445,0.0,0.0,0.0,4124.9344133603445,4124.9344133603445,4124.9344133603445,4124.9344133603445,34000
115,0,4084.6006246879947,0.0,0.0,0.0,4084.6006246879947,4084.6006246879947,4084.6006246879947,4084.6006246879947,34000
120,0,5184.402970752882,549.7731849393106,1101.8171983949153,1101.8171983949153,4634.629785813571,4082.5857723579666,4082.5857723579666,4082.585772357966,31140
125,0,5176.681775434854,467.2297905766707,1073.3309610612587,1101.8171983953239,4709.451984858183,4103.350814373595,4074.86457703953,4074.864577039531,31140
130,0,5259.776219102635,397.51202387310093,1005.7801768137725,1101.817198395145,4862.264195229534,4253.996042288863,4157.95902070749,4157.95902070749,31140
135,0,4892.928643359382,490.92695888721096,1101.8171983951493,1101.8171983951493,4402.00168447217,3791.1114449642323,3791.1114449642323,3791.1114449642328,31140
140,0,8031.9966688441355,582.1856302534679,1101.8171983955485,1101.8171983955485,7449.8110385906675,6930.179470448587,6930.179470448587,6930.1794704485865,31140
