age (Ma),natural decay total,natural decay within 15,natural decay outside 15,burial total,burial within 15,burial outside 15
520,2402933.696112846,1857849.5121921946,545084.183920652,2221661.188124074,1676577.0042034222,545084.183920652
515,2327108.4964642804,1843842.7272675142,483265.76919676585,2150933.898362027,1667668.1291652608,483265.76919676585
510,5700166.647506806,5263822.369532333,436344.27797447366,5528936.29502798,5092592.017053507,436344.27797447366
505,5620388.5737486025,5267440.251052887,352948.3226957147,5453945.050517702,5100996.727821986,352948.3226957147
500,5466721.933207249,5134857.044310136,331864.888897113,5305199.7130251145,4973334.824128001,331864.888897113
495,5309048.820190949,4878893.6199866785,430155.20020427176,5151655.73966671,4721500.539462438,430155.20020427176
490,5156322.687571005,4571195.953275355,585126.7342956503,5003830.099999108,4418703.365703458,585126.7342956503
485,4924160.466192878,4284513.112628741,639647.3535641369,4775918.584923124,4136271.2313589873,639647.3535641369
480,4802253.7284831125,3953487.207231842,848766.5212512705,4658323.190594045,3809556.6693427754,848766.5212512705
475,4604159.750040796,3723286.810121161,880872.939919635,4463897.737410166,3583024.797490531,880872.939919635
470,4590644.69556754,3392755.2695529247,1197889.4260146148,4454893.055985472,3257003.629970858,1197889.4260146148
465,4371036.696028048,2783443.848694889,1587592.847333159,4238621.423910999,2651028.5765778385,1587592.847333159
460,4336488.155563716,2037165.6100992267,2299322.5454644896,4207901.863881528,1908579.3184170383,2299322.5454644896
455,4214688.274773791,2076861.8775766857,2137826.397197105,4089958.6293911724,1952132.232194067,2137826.397197105
450,4109064.5333815394,2154747.2787350775,1954317.2546464615,3987572.3840114186,2033255.1293649569,1954317.2546464615
445,3990780.5181006524,2634203.266112593,1356577.2519880587,3873199.9202689384,2516622.66828088,1356577.2519880587
440,3886491.5944154477,3015929.883639454,870561.7107759936,3772276.8348611807,2901715.124085187,870561.7107759936
435,3767594.0124084246,3364148.994412255,403445.0179961693,3656623.6106179906,3253178.5926218214,403445.0179961693
430,3605658.681924438,3203944.9707412836,401713.71118315455,3497874.8264247924,3096608.666416849,401266.1600079434
425,3511987.6310510845,3084422.337520435,427565.2935306495,3406997.4486016985,3035226.7629833217,371770.6856183769
420,3411409.5092415037,2817007.382679013,594402.1265624904,3309593.8954110052,2817007.382679013,492586.5127319924
415,3321247.657265239,2365233.4198798775,956014.2373853613,3222611.8498651,2365233.4198798775,857378.4299852225
410,3241503.937178447,1621955.915566639,1619548.021611808,3145476.433143019,1621955.915566639,1523520.5175763804
405,3168656.6775008924,1300024.8728557492,1868631.8046451425,3075302.8663880485,1300024.8728557492,1775277.993532299
400,3086058.6561058746,1031545.5005147913,2054513.1555910837,2995571.2990840743,1031545.5005147913,1964025.798569283
