age_Ma,ice_extent,total_suture,within_10_suture,within_15_suture,within_20_suture,greater_10_suture,greater_15_suture,greater_20_suture,greater_40_suture,total_LIP_decay,total_LIP_decay_burial,within_15_LIP_decay,within_15_LIP_decay_burial,outside_15_LIP_decay,outside_15_LIP_decay_burial,continental_arc_Cao2017
0,50,29114.370081264606,10233.313180186242,11972.730314740127,13674.23089590366,18881.056901078366,17141.63976652448,15440.139185360946,3689.227180334098,15467194.88995948,8292566.580120054,4018145.2462275145,695158.735608868,11449049.643731967,7597407.844511187,14000
5,30,28061.877613432545,8818.200266815418,10553.927373637125,12729.422073453137,19243.67734661713,17507.95023979542,15332.455539979408,3616.4767458241654,16009357.797103042,8576134.599320475,4274702.70209888,759187.7161617017,11734655.095004166,7816946.883158772,14000
10,30,25682.233038524922,7084.341401871735,9184.92483963025,10615.484957418765,18597.89163665319,16497.308198894672,15066.748081106158,3356.2417170882145,16286664.130841622,8868690.336952971,4334839.660505982,871118.8488717044,11951824.470335642,7997571.488081266,14000
15,20,21101.266940388694,5765.594027003808,8349.399316524052,9352.259489972768,15335.672913384886,12751.867623864642,11749.007450415926,3129.2138438052507,17015336.152825724,9067315.259249436,4877040.211949913,993396.92292875,12138295.940875808,8073918.336320683,14000
20,20,19212.111487563736,5649.292565379063,6928.801253519377,7516.420682495159,13562.818922184673,12283.310234044358,11695.690805068578,3037.6222691695575,16548065.101438966,8720372.050736088,4927924.485620357,1129023.4040772328,11620140.615818607,7591348.646658856,14000
25,20,8294.10411330698,1789.4126316480144,2386.790531846964,2941.230725193322,6504.691481658965,5907.3135814600155,5352.873388113658,592.2597816125385,17207114.675593466,8934319.518391898,5498417.145412956,1353993.498812317,11708697.530180505,7580326.019579583,16500
30,30,11580.643142871084,1665.8590985693174,2316.9424713461913,4204.852977493061,9914.784044301767,9263.700671524894,7375.790165378023,1364.6749232722736,17760916.091576513,9180221.043582026,5774424.749188574,1485666.9256851275,11986491.342387944,7694554.117896898,16500
35,10,15858.726133913005,1522.6736943952028,2224.961823973089,4593.572905591414,14336.052439517804,13633.764309939917,11265.153228321591,2779.121134212683,16061004.44995012,9522102.95717198,4164249.0548056164,1526013.4957140428,11896755.395144505,7996089.46145794,16500
40,0,18819.810621453173,2573.099131728627,5817.096013418583,7971.6551068548815,16246.711489724545,13002.714608034588,10848.155514598291,2514.374659138702,16776618.44611002,9819614.13839974,4450060.2612143215,1501161.2439786573,12326558.184895698,8318452.894421085,23600
45,0,15281.969145477711,2876.4132354281137,6653.554138650083,8574.018211952634,12405.555910049598,8628.415006827629,6707.950933525077,1608.3619225665898,17268628.94047586,10119692.332938178,4485027.8427777365,1429945.6137410025,12783601.09769812,8689746.719197175,23600
50,0,16585.70240609353,6330.563481162227,9079.231749697554,9867.794183392243,10255.138924931303,7506.470656395975,6717.908222701286,1622.6059910857105,17832584.193548746,10470279.729213957,4525570.522221946,1398030.8614140735,13307013.671326801,9072248.867799882,24200
55,0,8986.257818002114,4870.759846369964,5922.980383131227,7158.965114338283,4115.4979716321495,3063.2774348708863,1827.2927036638312,0.0,18075784.443041928,10700427.680588244,4236205.828006033,1456855.862444154,13839578.615035895,9243571.81814409,24200
60,0,9000.089832004287,4930.029781671419,5920.485303224814,7159.973974441242,4070.060050332868,3079.604528779473,1840.1158575630452,0.0,18853281.376004998,10982652.179609897,4076277.3753424967,912586.2838418302,14777004.0006625,10070065.895768067,20200
65,0,5447.916681431005,120.32975289952297,1424.5843356634296,2855.7723797072204,5327.586928531482,4023.332345767575,2592.1443017237843,0.0,18322919.88213335,10221397.971932404,4140967.681411776,776745.4539148798,14181952.20072158,9444652.51801752,31700
70,0,4965.147650910392,0.0,483.39843886857983,1574.6314521129093,4965.147650910392,4481.749212041813,3390.516198797483,802.804746514588,17563603.06084476,9693036.231364617,4370421.860239597,840896.1733899089,13193181.20060516,8852140.057974705,31700
75,0,7329.0926481560255,1468.8166281901108,2208.5777321862024,4231.905478820917,5860.276019965915,5120.514915969823,3097.1871693351086,832.2878721532738,18098908.333424654,9996648.121312317,4556336.42116277,897249.549416423,13542571.91226189,9099398.571895894,31700
80,0,11366.031181690752,1575.2244097241378,2530.425152996053,4340.973765680195,9790.806771966614,8835.6060286947,7025.057416010557,2426.2494836648843,18598655.3743144,10257392.15526074,4731023.920010302,959040.92918387,13867631.454304095,9298351.226076867,35200
85,0,10537.247056627932,1633.4692503644853,2743.7318198017306,4252.998065042611,8903.777806263446,7793.515236826201,6284.24899158532,2455.823904273002,19064403.150682546,10567583.304034313,4891919.153601244,1034183.9913783905,14172483.997081295,9533399.312655922,35200
90,0,13758.395649777136,1717.4453083940134,2951.2520502077546,4264.860462886878,12040.950341383123,10807.143599569381,9493.535186890258,5665.11009957742,19581850.699293226,10795150.045702154,5070539.468559628,1113595.4391681356,14511311.230733588,9681554.606534015,35200
95,0,5674.502471339768,0.0,0.0,0.0,5674.502471339768,5674.502471339768,5674.502471339768,5674.502471339768,18956121.90917273,9879091.361602793,4608997.670813017,519209.6878450238,14347124.23835971,9359881.67375777,35200
100,0,5759.873757651401,0.0,0.0,0.0,5759.873757651401,5759.873757651401,5759.873757651401,5759.873757651401,15939695.218490075,6569351.359001301,4775059.044947105,547365.509307137,11164636.173542973,6021985.849694165,37500
105,0,3206.0638114828275,0.0,0.0,0.0,3206.0638114828275,3206.0638114828275,3206.0638114828275,3206.0638114828275,16181689.842651226,6553437.487842394,4984068.024209883,564571.5555685584,11197621.818441344,5988865.932273836,37500
110,0,4124.9344133603445,0.0,0.0,0.0,4124.9344133603445,4124.9344133603445,4124.9344133603445,4124.9344133603445,16168120.112067476,6686740.331416572,4744557.305721621,580297.5261677654,11423562.806345856,6106442.805248807,34000
115,0,4084.6006246879947,0.0,0.0,0.0,4084.6006246879947,4084.6006246879947,4084.6006246879947,4084.6006246879947,16698461.553322105,6915433.033164231,4881332.68581785,597306.7159754866,11817128.867504256,6318126.317188745,34000
