age_Ma,ice_extent,total_suture,within_10_suture,within_15_suture,within_20_suture,greater_10_suture,greater_15_suture,greater_20_suture,greater_40_suture,total_LIP_decay,total_LIP_decay_burial,within_15_LIP_decay,within_15_LIP_decay_burial,outside_15_LIP_decay,outside_15_LIP_decay_burial,continental_arc_Cao2017
120,0,5184.402970752882,549.7731849393106,1101.8171983949153,1101.8171983949153,4634.629785813571,4082.5857723579666,4082.5857723579666,4082.585772357966,17697773.839213707,7167948.305139686,5509560.897981789,614822.108523885,12188212.94123191,6553126.196615801,31140
125,0,5176.681775434854,467.2297905766707,1073.3309610612587,1101.8171983953239,4709.451984858183,4103.350814373595,4074.86457703953,4074.864577039531,18163467.895551424,7302906.259526726,5778435.364564222,633810.1789305015,12385032.530987198,6669096.080596225,31140
130,0,5259.776219102635,397.51202387310093,1005.7801768137725,1101.817198395145,4862.264195229534,4253.996042288863,4157.95902070749,4157.95902070749,18978442.733121026,8158870.4778979225,5658358.617856346,651138.0428095986,13320084.115264673,7507732.4350883225,31140
135,0,4892.928643359382,490.92695888721096,1101.8171983951493,1101.8171983951493,4402.00168447217,3791.1114449642323,3791.1114449642323,3791.1114449642328,19106007.553227708,7568843.059963888,5642599.846779341,221.53636657933757,13463407.70644836,7568621.5235973075,31140
140,0,8031.9966688441355,582.1856302534679,1101.8171983955485,1101.8171983955485,7449.8110385906675,6930.179470448587,6930.179470448587,6930.1794704485865,16455954.06853368,7812328.995870121,5749400.324461369,229.28884127483875,10706553.74407231,7812099.707028846,31140
145,0,8054.6996023445445,334.9049273176428,966.9030321107862,1112.0643230882788,7719.794675026902,7087.796570233759,6942.635279256266,6942.635279256267,16662999.902616987,7955779.525562401,5752476.8822079515,114.00840185351394,10910523.020409036,7955665.517160548,30740
150,0,5135.722261551132,130.00004222296442,796.8110248825759,1101.817198394629,5005.722219328168,4338.911236668556,4033.905063156503,4033.905063156502,17125834.103982136,8077403.234432735,5971866.096346487,28.090401905045052,11153968.007635647,8077375.14403083,33140
155,0,5157.138984322532,97.6906991056005,763.4309541749735,1101.817198395096,5059.448285216932,4393.708030147559,4055.3217859274364,4055.321785927436,17724386.002323993,8343926.517567714,6130649.130999746,26.32742111409164,11593736.871324247,8343900.190146601,33140
160,0,4033.9050631592336,0.0,0.0,0.0,4033.9050631592336,4033.9050631592336,4033.9050631592336,4033.9050631592336,17952432.36913726,8246848.233216285,6290769.08136867,24.96990394168545,11661663.287768595,8246823.263312343,32740
165,0,868.8007655574886,0.0,0.0,0.0,868.8007655574886,868.8007655574886,868.8007655574886,868.8007655574886,17773530.013972666,9039556.886818098,5932553.527413762,0.0,11840976.486558905,9039556.886818098,32740
170,0,877.0671486159821,0.0,0.0,0.0,877.0671486159821,877.0671486159821,877.0671486159821,877.0671486159821,18657952.81155325,9202912.635554738,6758498.181819232,0.0,11899454.629734015,9202912.635554738,31600
175,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18021061.19619815,8853232.546134721,6066685.8598411465,275.0582581166509,11954375.336356996,8852957.487876605,31600
180,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19363757.59637045,9309463.755239328,6693743.951282168,1019.6262480914107,12670013.64508828,9308444.12899124,31600
185,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15914849.747411998,6346297.231229073,6105480.568572851,22522.843886169565,9809369.178839143,6323774.387342907,31600
190,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17329828.18425848,6582636.808199986,7218562.36242249,29594.854967116542,10111265.82183599,6553041.953232869,31600
195,0,3107.222728610225,0.0,0.0,0.0,3107.222728610225,3107.222728610225,3107.222728610225,577.8253958680514,17713548.144148882,6812802.14801433,7560343.19145826,32878.23604018834,10153204.952690622,6779923.911974142,31600
200,0,3120.5518598006174,0.0,0.0,0.0,3120.5518598006174,3120.5518598006174,3120.5518598006174,2256.401557196379,18400095.958756365,7004819.388414253,7766891.039471618,35114.30101121831,10633204.919284748,6969705.087403034,21800
205,0,3187.0432422373437,0.0,0.0,0.0,3187.0432422373437,3187.0432422373437,3187.0432422373437,2782.47007233149,7213626.268323233,7184157.551470369,63673.299313715164,36422.35956727022,7149952.96900952,7147735.1919030985,21800
210,0,9283.202391710553,0.0,0.0,0.0,9283.202391710553,9283.202391710553,9283.202391710553,6849.709373929408,7376134.182245201,7345864.647337427,61925.328821787305,33650.364755553455,7314208.853423415,7312214.282581875,21800
215,0,9330.034499205887,0.0,0.0,0.0,9330.034499205887,9330.034499205887,9330.034499205887,6599.899597321181,7584369.727910598,7553109.960313028,44665.16349246848,14891.561959044337,7539704.5644181315,7538218.398353984,21800
220,0,9281.178034950646,0.0,0.0,0.0,9281.178034950646,9281.178034950646,9281.178034950646,5860.345535306754,7866542.326262439,7834484.671996331,125879.65593711988,94435.13592907992,7740662.670325317,7740049.536067251,21800
225,0,9251.771687516935,0.0,0.0,0.0,9251.771687516935,9251.771687516935,9251.771687516935,5062.170011689742,8016609.01515515,7983506.333955062,204860.8546173395,172061.23761236464,7811748.16053781,7811445.096342696,21800
230,0,13216.705284962449,0.0,628.3367945577104,1259.914544323697,13216.705284962449,12588.368490404739,11956.790740638751,4194.851219741191,8302886.576903745,8268938.635749067,261925.2467684408,228090.98488047146,8040961.330135303,8040847.6508685965,22900
235,0,12086.054735326246,1984.802058974636,2322.5351088845364,2966.522130242764,10101.25267635161,9763.51962644171,9119.532605083483,3082.7986975598737,8496446.534665199,8461402.367127929,556021.4702168063,521348.4341206782,7940425.064448393,7940053.9330072515,22900
240,0,17856.47807631699,2149.360985716351,2869.4261229825884,3781.2475408139762,15707.117090600641,14987.051953334403,14075.230535503015,6365.6049214275645,8781310.426327845,8745166.099888643,968142.998327962,932798.7409296852,7813167.427999881,7812367.358958958,29300
245,0,17902.003094910244,1103.113056882382,2875.53225885687,3510.6185845712916,16798.89003802786,15026.470836053373,14391.384510338952,6490.849966461639,8998883.131368555,8961855.652992083,1045240.0677912148,1009677.7535640022,7953643.063577341,7952177.899428082,29300
250,0,19389.295008526176,0.0,0.0,2998.034330663586,19389.295008526176,19389.295008526176,16391.260677862592,6098.132461101267,9294255.924494466,9256025.153326832,1063285.3922377748,1030615.7398171845,8230970.532256693,8225409.413509645,17550
255,0,8335.168662337142,0.0,0.0,227.80284585163207,8335.168662337142,8335.168662337142,8107.365816485511,3195.7841061078675,6037958.443888343,5998593.221736829,1110040.8139889059,1075624.4535879,4927917.6298994385,4922968.768148929,17550
260,10,8361.27762100028,0.0,0.0,335.0086271798396,8361.27762100028,8361.27762100028,8026.268993820439,3126.884821203932,5506694.168302452,5466306.612718179,385379.72121238755,349076.066529494,5121314.447090065,5117230.546188685,17550
265,10,9915.928023565699,0.0,0.0,258.35674370629744,9915.928023565699,9915.928023565699,9657.571279859401,2942.510082506195,5658925.558936656,5617292.6227387665,415088.2239898529,374395.1540628244,5243837.334946803,5242897.468675942,17550
270,10,6622.683647217787,0.0,0.0,1142.3273001226946,6622.683647217787,6622.683647217787,5480.356347095093,1256.3924801766825,5790257.6345149325,5747263.7260469785,434176.94922937977,391390.2442352372,5356080.6852855515,5355873.481811742,15500
275,10,6655.028880639198,0.0,542.2912735449931,2069.8563860245986,6655.028880639198,6112.737607094205,4585.1724946146,342.2134204635912,5981313.619468695,5937128.347164081,609841.78025417,565679.4303639544,5371471.839214525,5371448.916800126,15500
280,20,6592.832413803729,0.0,1374.8330796547061,2428.2897323698426,6592.832413803729,5217.999334149023,4164.542681433886,0.0,6185047.601818314,6139730.07296236,968593.8174238823,923276.2885679286,5216453.784394432,5216453.784394432,14750
285,20,6581.081895207928,0.0,1455.4469401950244,2447.759049767221,6581.081895207928,5125.634955012903,4133.322845440707,0.0,6266758.465061864,6220107.3414375335,1056618.6934129726,1009967.5697886415,5210139.771648891,5210139.771648891,14750
290,20,6590.944398613534,0.0,1621.8212893037232,2494.6897262165503,6590.944398613534,4969.12310930981,4096.254672396984,0.0,6483172.6098551275,6435142.772283987,1149418.7172717687,1101388.8797006279,5333753.89258336,5333753.89258336,16550
295,30,9580.793165656058,3038.0207941007707,4767.063309241783,5883.222044690377,6542.7723715552875,4813.729856414275,3697.571120965681,0.0,6244991.785395755,6195572.669753055,1286027.155123147,1236608.0394804473,4958964.630272607,4958964.630272607,16550
300,50,15147.573083293195,6495.413902470773,8925.265016014177,9365.954547354055,8652.159180822422,6222.308067279018,5781.61853593914,2328.9561651057497,6456745.735175477,6405822.384432885,1425429.575801893,1374506.225059301,5031316.159373584,5031316.159373584,11600
305,50,15113.588654924799,4356.7719685152315,8921.850286826832,9649.65321373989,10756.816686409567,6191.738368097967,5463.935441184909,2327.2544097935565,6640952.1922656875,6588585.188041458,1833866.2597216824,1781499.2554974519,4807085.932544004,4807085.932544004,11600
310,40,15143.175459322478,3948.4122935961714,7990.990994827245,9986.010651276647,11194.763165726306,7152.1844644952325,5157.164808045831,2313.5644756778843,6863259.791300692,6809311.12686286,2360499.106913949,2306550.4424761184,4502760.684386742,4502760.684386742,11600
315,40,15073.667506409918,3083.663656406578,5342.703561953389,9609.123065635897,11990.00385000334,9730.96394445653,5464.5444407740215,2313.5644756775505,7070055.158313951,7014525.064176127,3733219.321203012,3677689.2270651883,3336835.837110939,3336835.837110939,11600
320,40,11227.993007118675,2255.1656043235553,2255.1656043235553,4194.933241696088,8972.82740279512,8972.82740279512,7033.059765422588,2318.5830204775752,7246785.02864112,7189678.02816637,4457797.947081727,4412380.263286568,2788987.0815593936,2777297.7648798027,12540
325,40,11230.528649466112,2262.719791471247,3756.018915682127,4429.93734009297,8967.808857994865,7474.509733783985,6800.591309373142,2313.564475677498,7490979.398239002,7432294.616781229,4304517.159187903,4271237.284185551,3186462.2390510975,3161057.3325956766,12540
330,40,13242.756491076532,2488.867663366104,4327.017387438496,4947.066316892995,10753.888827710429,8915.739103638036,8295.690174183537,2315.3806573893708,7743044.26501005,7682185.424285914,4168927.2767120376,4148338.073763225,3574116.988298012,3533847.3505226867,17140
335,20,10935.337257301155,383.2537321493354,893.6503900742853,2314.0252958881274,10552.08352515182,10041.68686722687,8621.311961413026,2318.346037495654,7936507.101269067,7874195.129659788,4807985.186947603,4803135.93613667,3128521.914321465,3071059.1935231164,17140
340,0,4291.611524660291,132.04916531783655,401.45710221087654,401.45710221087654,4159.562359342454,3890.1544224494146,3890.1544224494146,2313.5644756778347,8174141.45871715,8110048.086549218,5119135.049484252,5119135.049484252,3055006.4092328968,2990913.037064965,16090
345,0,4273.408154602139,0.0,383.2537321530374,383.2537321530374,4273.408154602139,3890.1544224491017,3890.1544224491017,2640.575998747011,8427525.225323252,8361557.99000639,5284475.588509205,5284475.588509205,3143049.63681405,3077082.401497185,16090
350,0,5369.464376367673,0.0,0.0,383.2537321523387,5369.464376367673,5369.464376367673,4986.2106442153345,2924.5034707740947,8593009.36728927,8525084.227533432,5440592.406523458,5440592.406523458,3152416.960765815,3084491.8210099763,11490
355,0,5368.077164763077,0.0,0.0,383.25373215250386,5368.077164763077,5368.077164763077,4984.823432610573,2700.867475706957,8944080.111219596,8874187.360495321,5647937.890743306,5647937.890743306,3296142.2204762893,3226249.4697520155,11490
360,20,10654.677774834743,2654.926192033552,2654.926192033552,3175.13996096015,7999.751582801191,7999.751582801191,7479.537813874593,3307.4470638961684,9207661.260631997,9135920.58974839,5942079.335352233,5942079.335352233,3265581.9252797635,3193841.2543961583,9690
365,10,6787.58648535147,2698.3440140910097,2956.6626185022915,3094.9472836555765,4089.2424712604607,3830.923866849179,3692.639201695894,870.1210734832954,9055407.391058948,8981347.629163032,6138787.048898812,6138787.048898812,2916620.3421601383,2842560.5802642233,9690
370,0,6728.523157709165,2647.660352907262,3030.914085060975,3030.914085060975,4080.862804801903,3697.6090726481902,3697.6090726481902,1023.6816597845288,9263779.797657846,9187565.102531673,6313311.056240402,6313311.056240402,2950468.7414174424,2874254.0462912708,8750
375,0,6737.936178310381,2654.3358461272624,3037.589578277586,3037.589578277586,4083.600332183119,3700.3466000327953,3700.3466000327953,1354.4861855937247,8384221.87964754,8305814.912071858,6565388.510034378,6565388.510034378,1818833.3696131636,1740426.4020374808,8000
380,0,4075.8929338477624,0.0,383.25373215237437,383.25373215237437,4075.8929338477624,3692.639201695388,3692.639201695388,1748.0358530670874,8666924.921492593,8586178.264758384,6862530.239778898,6862530.239778898,1804394.6817136954,1723648.0249794868,10300
385,0,2347.306140912344,0.0,218.95413323251537,385.2150932810134,2347.306140912344,2128.3520076798286,1962.0910476313304,1748.0358530671338,2822354.1228300612,2739435.3618609067,1075942.2659098413,1075942.2659098413,1746411.8569202197,1663493.0959510657,10300
390,0,2356.188699017176,0.0,92.36863670260985,394.09738286770107,2356.188699017176,2263.8200623145663,1962.091316149475,1797.1410842272057,2911911.646066891,2826354.522755264,1031322.7873081048,1031322.7873081048,1880588.858758786,1795031.7354471588,10300
395,0,1253.3748056357165,0.0,0.0,383.2537321524338,1253.3748056357165,1253.3748056357165,870.1210734832827,870.1210734832827,2991348.493707321,2903293.475953687,999084.2586965538,999084.2586965538,1992264.2350107676,1904209.2172571332,10300
400,0,2613.9678334657906,0.0,0.0,383.25373215110324,2613.9678334657906,2613.9678334657906,2230.7141013146875,1656.332689674371,3086058.656105875,2995571.2990840743,1031545.5005147912,1031545.5005147912,2054513.1555910832,1964025.7985692827,14000
405,0,1734.3969243960623,0.0,34.17336099838737,383.25373215050143,1734.3969243960623,1700.223563397675,1351.1431922455608,786.2116161907371,3168656.677500892,3075302.866388048,1300024.8728557492,1300024.8728557492,1868631.8046451425,1775277.993532299,9400
410,0,2173.2786993151685,0.0,187.27034149804436,397.830169088161,2173.2786993151685,1986.008357817124,1775.4485302270075,470.53526230861814,3241503.9371784464,3145476.4331430187,1621955.915566639,1621955.915566639,1619548.021611808,1523520.5175763804,9400
415,0,2499.652374562769,0.0,720.4984786156834,724.2038443363128,2499.652374562769,1779.1538959470859,1775.4485302264563,0.0,3321247.657265239,3222611.8498651,2365233.419879877,2365233.419879877,956014.2373853612,857378.4299852225,9400
420,0,5275.188108771713,697.1749727184338,1504.8554186854328,2564.272469379337,4578.01313605328,3770.3326900862803,2710.915639392376,0.0,3411409.5092415037,3309593.895411005,2817007.382679013,2817007.382679013,594402.1265624904,492586.5127319924,12725
425,0,3899.664690996431,1102.428684914844,2010.7830034565436,2633.0818477304174,2797.236006081587,1888.8816875398875,1266.5828432660137,0.0,3511987.6310510845,3406997.448601698,3084422.337520435,3035226.7629833217,427565.2935306495,371770.6856183769,12725
430,0,8937.101629707668,4779.08798104507,5276.723712226808,6328.28945137265,4158.013648662598,3660.3779174808597,2608.812178335018,0.0,3605658.6819244395,3497874.8264247924,3203944.9707412836,3096608.6664168485,401713.71118315455,401266.16000794346,16225
435,0,8562.03618941968,3944.642465860827,5288.235005270855,5965.154859466274,4617.393723558853,3273.801184148824,2596.881329953406,0.0,3767594.0124084237,3656623.610617991,3364148.994412255,3253178.5926218214,403445.0179961693,403445.0179961693,16225
440,10,11534.19077859695,4018.9020355195316,8267.431580760407,9800.073383854287,7515.288743077419,3266.7591978365435,1734.1173947426632,0.0,3886491.594415448,3772276.8348611807,3015929.883639454,2901715.124085187,870561.7107759936,870561.7107759936,16225
445,50,14174.698025899006,7396.560880824603,11655.40403068089,13464.80249990804,6778.137145074403,2519.293995218117,709.8955259909653,276.71573923008407,3990780.5181006524,3873199.9202689375,2634203.266112593,2516622.66828088,1356577.2519880584,1356577.2519880584,16225
450,30,12266.000705396858,6885.536955332604,9715.519136211744,10969.490052726402,5380.463750064255,2550.4815691851145,1296.5106526704567,0.0,4109064.5333815394,3987572.384011418,2154747.278735078,2033255.1293649569,1954317.2546464612,1954317.2546464612,12775
455,15,12035.694774675256,6766.273436221934,8641.79516691811,9926.996157766589,5269.421338453321,3393.8996077571464,2108.6986169086667,0.0,4214688.274773791,4089958.629391172,2076861.8775766855,1952132.232194067,2137826.397197105,2137826.397197105,12775
460,0,10624.973783640307,5634.242922531614,6358.427103259468,7825.127354261257,4990.730861108694,4266.5466803808395,2799.8464293790503,0.0,4336488.155563716,4207901.863881528,2037165.610099227,1908579.3184170385,2299322.5454644896,2299322.5454644896,9750
465,0,10646.150136728662,5648.110183608667,6213.728855665115,7096.739962977377,4998.039953119995,4432.421281063547,3549.4101737512847,0.0,4371036.696028048,4238621.423910999,2783443.8486948884,2651028.5765778385,1587592.847333159,1587592.847333159,9750
470,0,4437.221787941971,1389.0934444120849,2040.8656910617417,2827.882593567922,3048.1283435298865,2396.3560968802294,1609.3391943740494,0.0,4590644.695567539,4454893.055985472,3392755.269552925,3257003.6299708583,1197889.4260146143,1197889.4260146143,9750
475,0,4131.964757761763,1085.7526951884386,1636.9979189423857,2529.213860497392,3046.212062573325,2494.9668388193777,1602.7508972643714,0.0,4604159.750040797,4463897.737410166,3723286.8101211614,3583024.797490531,880872.939919635,880872.939919635,9750
480,0,2524.541844344746,1318.5131278748722,1510.058033169989,2524.5418443447466,1206.0287164698739,1014.4838111747572,-4.547473508864641e-13,0.0,4802253.7284831125,4658323.190594045,3953487.207231842,3809556.6693427763,848766.5212512704,848766.5212512704,15150
485,0,2637.683021016835,1583.6441872598164,1623.1992098418616,2043.3602693319958,1054.0388337570187,1014.4838111749734,594.3227516848392,0.0,4924160.466192878,4775918.584923124,4284513.112628741,4136271.2313589873,639647.3535641369,639647.3535641369,15150
490,0,1613.505102975722,1610.409468761918,1613.505102975722,1613.505102975722,3.0956342138038053,0.0,0.0,0.0,5156322.687571006,5003830.099999108,4571195.953275356,4418703.365703458,585126.7342956503,585126.7342956503,20515
495,0,424.3053379811006,424.3053379811006,424.3053379811006,424.3053379811006,0.0,0.0,0.0,0.0,5309048.82019095,5151655.73966671,4878893.6199866785,4721500.539462438,430155.2002042717,430155.2002042717,20515
500,0,424.305337981092,424.305337981092,424.305337981092,424.305337981092,0.0,0.0,0.0,0.0,5466721.933207248,5305199.7130251145,5134857.044310137,4973334.824128001,331864.88889711304,331864.88889711304,16575
505,0,424.3053379810262,424.3053379810262,424.3053379810262,424.3053379810262,0.0,0.0,0.0,0.0,5620388.5737486025,5453945.050517702,5267440.251052887,5100996.727821986,352948.3226957147,352948.3226957147,16575
510,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5700166.647506806,5528936.29502798,5263822.369532333,5092592.017053507,436344.27797447366,436344.27797447366,14375
515,0,1750.934831465895,0.0,0.0,0.0,1750.934831465895,1750.934831465895,1750.934831465895,1227.7988635009992,2327108.4964642804,2150933.898362027,1843842.727267514,1667668.129165261,483265.7691967658,483265.7691967658,15075
520,0,2096.501005881243,0.0,0.0,0.0,2096.501005881243,2096.501005881243,2096.501005881243,2096.501005881243,2402933.696112846,2221661.188124074,1857849.5121921946,1676577.0042034222,545084.1839206519,545084.1839206519,15075
