ID,NAME,REF,MAGMAX,MAGMIN,METMAX,METMIN,EXMAX,EXMIN,PLATEID_CE,PLATEID_M,LENGTH_KM
35,Quetta,Beck et al. (1995),80,65,65,35,66,49,501,501,1279
34,Tsangpo,"Jagoutz et al. (2015); Hebert et al. (2012)",165,120,153,50,50,0,501,501,2698
60,NewGuinea,"Baldwin et al. (2012); Cloos et al. (2005)",190,56,58,15,15,0,680,698,1996
61,Cyclops,Monnier et al. (1999a),43,29,29,16,4,0,697,697,310
64,Halmahera,"Hall et al. (1988); Ballantyne (1996)",165,66,66,35,4,0,680,680,595
67,EastPhilippines,"Pubellier et al. (1991); Yumul et al. (2007)",180,23,107,11,20,0,678,678,1761
68,WestPhilippines,"Yumul et al. (2009; 2013)",160,23,48,11,5,0,674,674,717
65,EastSulawesi,"Parkinson (1988); Villeneuve et al. (2002)",60,40,34,23,23,0,667,667,905
62,Seram,"Monnier et al. (2003); Pownall et al. (2016)",20,10,16,6,6,0,681,681,228
63,Obi,Ali et al. (2001),116,60,60,35,4,0,670,567,101
66,Borneo_Palawan,"Monnier et al. (1999b); Omag & Barber (1996)",198,76,100,11,23,0,677,61405,1958
58,Banda,Harris (2006),83,3,36,0,5,0,683,652,573
59,Java,Wakita (2000),198,100,90,66,8,0,673,736,713
82,Woyla,Pedersen et al. (2010),95,48,90,48,60,40,647,647,2636
80,Bentong-Raub,Metcalfe (2013),400,300,300,250,250,235,647,647,418
41,Chengning-Menglian,"Jian et al. (2009); Metcalfe (2013)",386,264,264,250,250,235,603,60301,1557
37,Bangong,"Zhai et al. (2011); Zhang et al. (2012)",471,244,244,135,90,78,616,606,2321
40,Ailaoshan,"Zi et al. (2012); Metcalfe (2013)",387,341,341,247,247,237,602,602,1102
55,Dabie-Sulu,Ratschbacher et al. (2004),488,470,470,440,250,210,601,601,1015
51,Derba_Olkhon,"Dobretsov&Buslov (2007); Cherkasova et al. (2015)",579,480,490,430,490,430,401,401,1089
49,Agardagh-Khantaishir,Bold et al. (2016),580,550,550,540,540,530,432,432,1554
50,Bayankhongor,"Buchan et al. (2001); Donskaya et al. (2013)",653,651,650,200,160,140,432,401,398
52,Kurtushiba,Volkova et al. (2011),470,465,470,430,470,430,431,431,304
47,Central Asian,Xiao et al. (2015),360,250,330,250,250,240,453,453,1881
48,Transaltai,Kroner et al. (2010),415,390,390,360,360,300,455,455,2319
43,Tianshan-Tarim,Wang et al. (2011),397,387,387,361,360,330,451,451,1580
38,NW Kunlun,"Schwab et al. (2004); Xiao et al. (2002)",474,458,451,384,250,210,456,456,1190
46,Maikain-Kyzyltas,Choulet et al. (2012),503,460,460,440,458,419,1021,462,674
44,Erementay-Yili,Domeier (2018),530,460,443,413,443,413,1019,460,338
45,Junggar-Balkhash,Han et al. (2010),490,344,344,316,316,270,461,464,657
53,Uralian,Brown et al. (2006),488,392,416,275,315,265,302,302,3191
39,Jinsha,"Schwab et al. (2004); Yang et al. (2012)",290,258,230,190,230,195,616,616,1998
42,Kunlun,"Schwab et al. (2004); Xiao et al. (2002)",474,244,451,384,250,210,456,456,1714
36,WestJinsha,Schwab et al. (2004),290,258,230,190,230,195,616,616,1110
4,Laurentia-Dashwoods,"van Staal & Barr (2012); Macdonald et al. (2017)",560,475,475,450,465,440,101,101,360
3,Moretown-Laurentia,"De Souza et al. (2008); Macdonald et al. (2017)",560,475,475,450,465,440,101,101,1224
2,Piedmont-Laurentia,Misra & Keller (1978),560,460,475,450,465,440,101,101,1347
8,Avalon-Gander,vanStaal&Barr (2012),440,423,421,400,390,350,108,108,214
1,McKlintock,Trettin et al. (1992),510,475,480,450,465,430,134,124,435
6,Scandanavian_Caledonides,"Pederson & Furnes (1991); Gee et al. (2008)",498,470,475,450,465,430,302,302,1695
5,Amorica-Avalonia,Clark et al. (1998),400,380,380,370,380,360,315,315,1735
7,Scottish Caledonides,Hollis et al. (2013),484,470,470,464,465,440,303,315,623
78,West Alpine,Michard et al. (2002),200,100,50,30,50,30,304,304,3236
32,Pontides (Sananadaj),"Okay & Tuysuz (1999); Bozkurt et al. (2013)",165,120,153,50,70,35,581,521,1829
13,Southern Cordilleran,"Sepulveda et al. (2008); Calderon et al. (2016)",270,100,120,80,100,70,291,28011,798
12,Pampian,"Ramos et al. (2000); Escayola et al. (2007)",700,600,600,540,580,515,290,2901,1351
22,Northern Caribbean,"Lazaro et al. (2009); Kerr et al. (2002)",124,72,106,68,70,40,233,274,1125
16,Anguyucham,"Wirth & Bird (1992); Moore et al. (2015)",187,184,171,160,146,90,103,18103,1366
20,Southern Slide Mountain,"Burchfiel et al. (1992); Snow et al. (1991)",376,252,360,252,265,230,16104,16104,2412
21,Resurrection,"Haeussler et al. (2003); Lytwyn et al. (1997)",68,50,60,45,50,35,16121,16121,1608
15,Cordilleran,"Shervais et al. (2005); Wakabayashi (2012)",172,160,160,123,100,80,161,176,1628
71,Amazon-SaoFrancisco,"Caxito et al. (2014); Tassinari et al. (2001)",820,620,650,620,620,600,201,201,2959
11,Precordillera,Ramos et al. (2000),540,470,470,359,400,359,290,202,867
73,Mauritanide-Bassaride,El Hadi et al. (2010),743,697,660,635,650,615,714,714,1068
