ID,NAME,REF,MAGMAX,MAGMIN,METMAX,METMIN,EXMAX,EXMIN,PLATEID_CE,PLATEID_M,LENGTH_KM
74,Trans-Saharan,Caby et al. (1989,730,705,710,620,635,600,714,714,1672
14,N. Andean,"Kerr et al. (2002; 2005); Mann (1999)",124,72,50,40,60,30,247,201,1644
70,Dom Feliciano,Arena et al. (2017),923,758,758,722,722,585,202,701,995
24,Southern Caribbean,"Kerr et al. (2002); Mann (1999)",124,72,106,68,10,0,251,235,705
23,Western Caribbean,"Kerr et al. (2002); Mann (1999)",124,72,106,68,70,40,205,205,450
17,Windy-McKinley,"Murphy et al. (2006); Parsons et al. (2018)",376,252,360,252,265,230,16104,16104,742
18,Finlayson,"Murphy et al (2006); Parsons et al. (2018)",376,252,360,252,265,230,16104,16104,419
19,North Slide Mountain,"Murphy et al. (2006); Parsons et al. (2018)",376,252,360,252,265,230,16104,16104,399
69,Damara,"Meneghini et al. (2017); Miller (2008)",780,740,580,530,545,515,701,701,398
31,Semail,"Rioux et al. (2016); Sengor & Stock (2014)",97,90,90,72,90,72,503,503,677
77,Yenesei,Vernikovsky et al. (2007),750,650,700,635,650,635,401,401,575
57,Japan,Ishiwatari & Tsujimori (2003),600,280,330,220,250,210,630,630,891
75,Verkhoyansk,Osman (2003),430,180,180,135,170,110,420,420,872
27,NE Japan,"Ishiwatari et al. (2003); Isozaki (2010)",170,150,170,0,20,0,624,624,1446
56,Primorye,Ishiwatari & Tsujimori (2003),622,430,330,220,250,210,454,454,1321
26,Koryak,Ishiwatari et al. (2003),600,100,200,15,20,0,438,44103,991
54,Mongol-Okhotsk,Donskaya et al. (2013),380,200,250,150,160,140,430,430,2775
76,Taimyr,Vernikovsky & Vernikovskaya (2001),850,740,740,600,700,550,401,401,627
25,Kamchatka,Tsukanov et al. (2007),110,60,60,40,40,0,438,44100,593
9,East Tasman,Foster et al. (2009),370,250,360,240,260,240,848,801,1637
10,West Tasman,Foster et al. (2009),520,505,520,430,505,410,801,801,424
28,Hercynian-Europe,"Kroner & Romer (2013); Hartley & Otava (2001)",498,390,390,330,335,300,305,305,3654
79,Maghebrides,"Michard et al. (2002);Alvarez-Valero et al. (2014)",40,20,23,10,23,0,706,718,3371
81,MtVictoria-Kawlun,Burchfiel et al. (2012),165,120,153,50,40,0,607,607,1279
72,Arabian-Nubian,Johnson (2014),845,675,780,600,650,580,503,503,4129
83,Mahkran,"Moghadam & Stern (2015); Tirrul et al. (1983)",165,120,153,72,90,72,582,50602,489
84,Sistan,"Brocker et al. (2013); Tirrul et al. (1983)",114,85,85,65,83,65,506,505,754
85,Alborz,Moghadam & Stern (2014),599,522,382,330,300,250,392,301,2733
33,Shyok,Bouilhol et al. (2013),120,40,120,0,40,0,563,517,2065
30,Sananadaj-Sirjan,"Moghadam & Stern (2015); Sengor & Stock (2014)",97,90,90,72,90,72,503,503,3556
87,South_Anyui1,Moore et al. (2015),187,184,171,160,146,90,407,43300,450
88,South_Anyui2,Moore et al. (2015),187,184,171,160,146,90,407,43300,1091
89,Hispaniola,Mann (1999),124,72,106,68,10,0,240,254,846
90,Avalon_Meritimes,van Staal & Baar (2012),440,223,421,400,421,400,108,108,605
91,Avalon_NewEngland,van Staal & Barr (2012),440,423,421,400,421,400,108,108,182
92,Meguma,van Staal & Baar (2012),400,380,400,380,390,350,170,108,879
93,Maurintanides,"Pique & Michard (1989); Villanueve (2005)",498,390,390,330,335,295,714,714,812
94,Avalon_Britian,Pharroah (1999),440,423,421,400,421,400,315,315,566
95,Caledonides_Greenland,Gee et al. (2008),498,470,475,430,465,430,102,102,1245
96,Caledonides_Svalbard,Gee et al. (2008),498,470,475,430,465,430,309,309,282
97,Kudi-Altyn,"Xiao et al. (2002); Liu et al. (2016)",526,458,490,444,475,444,480,580,1326
98,Pie de Palo,Ramos et al. (2000),1090,1027,1030,475,475,444,290,202,276
29,Magnitogorsk,Brown et al. (2006),488,392,416,375,375,358,302,302,2653
100,Shan states,Metcalf (2013),250,155,155,120,155,120,607,7250,1098
102,Xiaoshing-Pingxiang,"Hsu et al. (1990); Cawood et al. (2013)",900,850,900,850,850,800,602,602,1573
103,Slonoker,Xiao et al. (2015),360,250,330,250,250,240,401,401,1019
104,Anarek-Dehshir,Moghadam & Stern (2015),97,90,90,72,90,72,582,505,1020
105,Zagros,Alavi (1994),90,65,70,0,10,0,582,505,2500
106,Inner Taurus,Alavi (1994),90,65,70,0,10,0,504,522,850
99,Ogcheon,Cluzel (1992),480,430,430,330,430,330,601,601,383
107,Tuarkyr,Garzanti & Gaetani (2002),360,310,340,290,330,300,302,302,2258
108,New Caledonia,Cluzel et al. (2012),220,50,60,34,44,33,806,845,591
109,Tangihua,Nicholson et al. (2000),220,50,60,34,44,33,806,806,298
110,Dun_North,"Sivell & McCulloch (2010); Grey & Foster (2004)",285,265,160,100,130,90,806,806,151
111,Dun_South,Sivell & McCulloch,285,265,160,100,130,90,806,806,159
112,Northland,"Whattam et al. (2006); Marsaglia et al. (2014)",35,15,26,20,23,15,806,806,205
113,Caltepec,"Nance et al. (2010); Gleason et al. (1995)",480,275,350,320,335,295,215,215,1019
114,Alleghenian,Nance et al. (2010),390,300,390,295,335,295,109,109,1169
115,Qilian,Song et al. (2014),540,500,473,446,446,420,601,601,2074
116,Kyrgyz Middle Tianshan,Alexeiev et al. (2016),467,445,460,450,458,444,1019,1019,732
117,Kyrgyz North Tianshan,"Alexeiev et al. (2011); Domeier (2018)",534,508,508,474,485,470,1019,1019,1016
